fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,retorno_log_diario,media_movil_7d,media_movil_30d,volatilidad_7d,volatilidad_30d
2014-10-17,298.96,302.17,292.82,30082,300.82,10661362,2.309322718962451,26416.428571428572,27284.433333333334,1.34030809773514,1.05389039367798
2014-10-18,300.99,309.76,297.07,30684,306.84,8949440,0.019814359864028377,26700.571428571428,27212.1,1.3403139058291196,1.0538045933133946
2014-10-19,306.7,308.8,302.94,30562,305.62,4640334,-0.003983938913984386,26787.85714285714,27204.966666666667,1.3402370559374899,1.0537375237365534
2014-10-20,305.38,305.9,296.3,29921,299.21,12832356,-0.021196832175413877,26677.571428571428,27139.8,1.3402256144219755,1.053722537685225
2014-10-21,298.88,308.42,297.71,30402,304.02,11161816,0.015947820714176237,26490.428571428572,27117.766666666666,1.340165056062663,1.0537177099089121
2014-10-22,303.74,305.48,301.24,30311,303.11,9209161,-0.002997712784608308,26421.428571428572,27084.933333333334,1.340125546683297,1.0537166377363723
2014-10-23,302.95,304.65,281.91,28336,283.36,20916199,-0.06737760189674168,30042.571428571428,26898.833333333332,0.8770899664177391,1.0536678418737755
2014-10-24,283.49,287.27,279.2,28283,282.83,12301263,-0.0018721636016320205,29785.571428571428,26737.433333333334,0.029215031483184287,1.053662738425596
2014-10-25,283.04,284.03,270.62,27409,274.09,14307419,-0.03138949082506196,29317.714285714286,26575.466666666667,0.027194048267818245,1.0536667111162783
2014-10-26,274.26,283.52,271.45,27985,279.85,8893491,0.020797225729539192,28949.571428571428,27402.0,0.030455370457070145,0.9592375492249353
2014-10-27,279.9,282.08,275.61,2779,277.9,10260589,-2.309577501582956,25072.14285714286,26444.533333333333,0.8692498333672921,0.9601191523529529
2014-10-28,278.08,283.27,277.53,28077,280.77,6159912,2.3128595850828626,24740.0,26388.5,1.3346993138494365,1.0549636222711485
2014-10-29,280.36,280.98,265.37,26569,265.69,14403214,-0.05520561321184153,24205.428571428572,27175.5,1.33479062764171,0.9611428480763846
2014-10-30,265.78,278.22,265.7,27388,273.88,23935517,0.030359838627428786,24070.0,27067.033333333333,1.3347092685459367,0.8607766670968509
2014-10-31,273.64,276.12,268.92,27014,270.14,10017087,-0.0137497111202441,23888.714285714286,26954.333333333332,1.334712385232819,0.8607782724985918
2014-11-01,270.4,271.9,256.35,2601,260.1,13316193,-2.340459263672058,20344.714285714286,26054.2,1.60070481659349,0.9607395780095237
2014-11-02,260.36,262.74,256.01,26069,260.69,6882345,2.3048508824769924,20071.0,25965.633333333335,1.8919564269351412,1.0549697250709646
2014-11-03,260.43,267.61,260.2,26223,262.23,10366264,0.005890019322953614,23420.14285714286,25963.8,1.6033240220514189,1.0548457556974395
2014-11-04,261.92,265.07,259.75,26332,263.32,12473508,0.004148041339169688,23170.85714285714,25987.666666666668,1.3412499959214257,1.0548349844670097
2014-11-05,263.47,275.09,263.45,27209,272.09,15882985,0.03276287131976922,23262.285714285714,26024.366666666665,1.3411588456641368,1.0548460979170926
2014-11-06,272.07,285.2,270.5,28219,282.19,15185814,0.03644770901031217,23381.0,26079.966666666667,1.3411812153680835,1.054862090739102
2014-11-07,282.61,284.97,274.89,27499,274.99,13519274,-0.025845869560722688,23450.285714285714,26073.166666666668,1.3412160943094689,1.054845516257875
2014-11-08,274.78,278.7,274.78,27746,277.46,6854698,0.008942045283544836,27042.428571428572,26038.966666666667,0.8674697691667983,1.054822703418045
2014-11-09,277.37,291.72,276.47,29154,291.54,19426645,0.04950043899328721,27483.14285714286,26056.233333333334,0.0253802771459261,1.054862929726736
2014-11-10,290.74,301.78,286.62,29531,295.31,24507123,0.012848434397896253,27955.714285714286,26084.1,0.025053482915847785,1.0548652844826838
2014-11-11,294.45,298.91,292.63,29479,294.79,12698549,-0.0017624136064997265,28405.285714285714,26068.366666666665,0.025650195977077007,1.0548356502006928
